manual_mark,nearest_peak,diff_ms,corrected_mark,valid
1743838545376 ,1743838545500 ,124,1743838545500 ,TRUE
1743838548439 ,1743838548267 ,172,1743838548267 ,TRUE
1743838596329 ,1743838597017 ,688,1743838597017 ,TRUE
1743838739041 ,1743838739089 ,48,1743838739089 ,TRUE
1743838807114 ,1743838807182 ,68,1743838807182 ,TRUE
1743839302013 ,1743839301882 ,131,1743839301882 ,TRUE
1743839340897 ,1743839340958 ,61,1743839340958 ,TRUE
1743839375850 ,1743839375679 ,171,1743839375679 ,TRUE
1743839419354 ,1743839419385 ,31,1743839419385 ,TRUE
1743839443391 ,1743839443416 ,25,1743839443416 ,TRUE
1743839465655 ,1743839465544 ,111,1743839465544 ,TRUE
1743839486208 ,1743839486298 ,90,1743839486298 ,TRUE
1743839516702 ,1743839516822 ,120,1743839516822 ,TRUE
1743839538361 ,1743839538401 ,40,1743839538401 ,TRUE
1743839556885 ,1743839556921 ,36,1743839556921 ,TRUE
1743839791464 ,1743839793290 ,1826,,FALSE
1743839791910 ,1743839793290 ,1380,,FALSE
1743839798233 ,1743839798116 ,117,1743839798116 ,TRUE
1743839818726 ,1743839818713 ,13,1743839818713 ,TRUE
1743839818750 ,1743839818713 ,37,1743839818713 ,TRUE
1743839839635 ,1743839839725 ,90,1743839839725 ,TRUE
1743839940580 ,1743839940743 ,163,1743839940743 ,TRUE
1743840157027 ,1743840156764 ,263,1743840156764 ,TRUE
1743840164959 ,1743840166809 ,1850,,FALSE
1743840166842 ,1743840166809 ,33,1743840166809 ,TRUE
1743840182920 ,1743840183112 ,192,1743840183112 ,TRUE
1743840182977 ,1743840183112 ,135,1743840183112 ,TRUE
1743840266817 ,1743840266863 ,46,1743840266863 ,TRUE
